Place,YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,,,,,,,
NYS,1986,5,8444060,7887486,556574, 6.6 ,,,,,,,,,,,
NYS,1986,6,8446309,7899992,546317, 6.5 ,,,,,,,,,,,
NYS,1986,7,8446807,7914993,531814, 6.3 ,,,,,,,,,,,
NYS,1986,8,8446010,7929866,516144, 6.1 ,,,,,,,,,,,
NYS,1986,9,8444650,7942965,501685, 5.9 ,,,,,,,,,,,
NYS,1986,10,8443246,7954497,488749, 5.8 ,,,,,,,,,,,
NYS,1986,11,8441569,7964163,477406, 5.7 ,,,,,,,,,,,
NYS,1986,12,8440883,7974393,466490, 5.5 ,,,,,,,,,,,
NYS,1987,1,8441771,7986560,455211, 5.4 ,,,,,,,,,,,
NYS,1987,2,8443503,7999842,443661, 5.3 ,,,,,,,,,,,
NYS,1987,3,8447195,8014696,432499, 5.1 ,,,,,,,,,,,
NYS,1987,4,8453220,8031202,422018, 5.0 ,,,,,,,,,,,
NYS,1987,5,8461149,8048381,412768, 4.9 ,,,,,,,,,,,
NYS,1987,6,8471192,8064923,406269, 4.8 ,,,,,,,,,,,
NYS,1987,7,8483495,8080162,403333, 4.8 ,,,,,,,,,,,
NYS,1987,8,8497287,8094174,403113, 4.7 ,,,,,,,,,,,
NYS,1987,9,8510594,8107825,402769, 4.7 ,,,,,,,,,,,
NYS,1987,10,8520595,8120516,400079, 4.7 ,,,,,,,,,,,
NYS,1987,11,8525703,8132516,393187, 4.6 ,,,,,,,,,,,
NYS,1987,12,8524333,8142148,382185, 4.5 ,,,,,,,,,,,
NYS,1988,1,8516679,8148513,368166, 4.3 ,,,,,,,,,,,
NYS,1988,2,8506600,8152981,353619, 4.2 ,,,,,,,,,,,
NYS,1988,3,8498645,8156087,342558, 4.0 ,,,,,,,,,,,
NYS,1988,4,8497368,8158999,338369, 4.0 ,,,,,,,,,,,
NYS,1988,5,8505117,8163322,341795, 4.0 ,,,,,,,,,,,
NYS,1988,6,8520534,8170127,350407, 4.1 ,,,,,,,,,,,
NYS,1988,7,8540340,8179165,361175, 4.2 ,,,,,,,,,,,
NYS,1988,8,8561839,8189447,372392, 4.3 ,,,,,,,,,,,
NYS,1988,9,8583153,8199978,383175, 4.5 ,,,,,,,,,,,
NYS,1988,10,8602025,8210585,391440, 4.6 ,,,,,,,,,,,
NYS,1988,11,8617868,8220962,396906, 4.6 ,,,,,,,,,,,
NYS,1988,12,8631431,8230468,400963, 4.6 ,,,,,,,,,,,
NYS,1989,1,8644324,8239246,405078, 4.7 ,,,,,,,,,,,
NYS,1989,2,8656545,8246117,410428, 4.7 ,,,,,,,,,,,
NYS,1989,3,8667962,8251902,416060, 4.8 ,,,,,,,,,,,
NYS,1989,4,8677599,8256538,421061, 4.9 ,,,,,,,,,,,
NYS,1989,5,8684836,8259412,425424, 4.9 ,,,,,,,,,,,
NYS,1989,6,8690808,8260707,430101, 4.9 ,,,,,,,,,,,
NYS,1989,7,8696915,8261118,435797, 5.0 ,,,,,,,,,,,
NYS,1989,8,8704437,8262776,441661, 5.1 ,,,,,,,,,,,
NYS,1989,9,8715162,8268108,447054, 5.1 ,,,,,,,,,,,
NYS,1989,10,8731611,8279526,452085, 5.2 ,,,,,,,,,,,
